Timestamp,RSRP,RSSI,SNR
1566655988.83274,-53.3,-47.5,23
1566677596.04798,-53.2,-47.4,20
1566699202.7911,-52.9,-47.1,21.2
1566720806.05237,-53.2,-47.4,21.3
1566742408.86845,-53.3,-44.4,23.3
1566764013.84438,-53.3,-47.4,19
1566785618.42821,-53.8,-48,21.5
1566807219.03492,-52.8,-47,21.9
1566828823.26095,-52.8,-47,21.9
1566850429.23482,-53.7,-47.9,21.5
1566872038.22777,-53.6,-47.8,20.4
1566893639.18271,-53.6,-47.8,20.4
1566915241.39133,-53.8,-48,21.3
1566936848.09131,-54,-48.2,20.5
1566958456.67322,-54.3,-48.4,18.1
1566980058.32294,-54.4,-48.5,20.7
1567001660.25583,-53.2,-47.4,23
1567023265.03449,-53.7,-47.9,20.7
1567044865.11276,-53.6,-47.8,22.6
1567066468.95831,-53.9,-48.1,20
1567088075.49626,-52.8,-47,19.8
1567109680.88436,-52.7,-46.9,21.1
1567131289.42601,-52.8,-47,21.4
1567152897.58541,-53.8,-47.9,20.3
1567174502.41331,-53.4,-47.6,21.6
1567196108.76836,-53.3,-47.5,21.3
1567217713.29626,-53.9,-45,25.8
1567239317.85081,-53.5,-42.9,19.4
1567260925.20593,-53.7,-47.9,20.4
1567282532.41753,-53.5,-47.7,21.3
1567304137.54613,-53.5,-47.7,21.7
1567325742.64336,-53.8,-48,20.9
1567347346.98212,-53.6,-47.9,22.9
1567368950.18549,-53.6,-47.8,21.8
1567390551.51392,-53.5,-44.5,21.9
1567412154.86355,-53.7,-48,22.8
1567433756.17877,-53.3,-47.4,18.8
1567455361.78834,-53,-47.2,21.9
1567476965.30672,-53.7,-44.2,20.9
1567498572.05244,-53.2,-47.4,21.9
1567520172.71249,-53.4,-47.6,18.9
1567541775.09135,-52.3,-46.5,22.1
1567563376.74647,-52.3,-46.5,22.1
1567584980.72911,-52.6,-46.8,21.9
1567606583.59433,-51.8,-46,21.8
1567628191.03747,-52.9,-47.1,21.4
1567649792.92717,-54,-47.8,20
1567671398.14658,-53.9,-48.2,22.4
1567693003.28545,-53.8,-48,19.9
1567714607.93615,-53.8,-48,21.4
1567736213.51735,-53.8,-48,19.9
1567757813.79484,-53.7,-48,22.2
1567779420.63714,-53.5,-47.7,21.8
1567801026.78982,-53.8,-48,22.6
1567822633.1681,-54.1,-48.3,21.2
1567844241.39389,-52.9,-47.1,20.9
1567865841.84985,-53.6,-47.9,22.4
1567887444.17704,-53.5,-47.7,21.8
1567909051.64139,-53.7,-47.9,21.6
1567930655.17131,-53.8,-47.9,19.9
1567952262.88679,-53.5,-47.7,20.6
1567973867.80199,-53.5,-46.4,20.2
1567995471.71378,-53.6,-47.8,22.5
1568017072.31246,-53.9,-48.1,20.9
1568038676.63751,-53.6,-47.9,21.8
1568060277.35735,-53.6,-47.8,21.3
1568081884.40356,-53.6,-47.8,21.6
1568103490.25848,-53.8,-44.8,24.6
1568125098.99916,-53.5,-47.7,21.1
1568146702.65532,-53.4,-47.6,22.1
1568168303.55426,-53.4,-47.5,20.6
1568189909.12245,-53.6,-47.8,22.6
1568211513.79519,-53.5,-47.8,21.6
1568233115.94287,-53.6,-47.8,21.8
1568254717.73283,-53.5,-47.8,22.3
1568276320.05975,-53.4,-47.6,21.9
1568297926.99959,-53.4,-47.6,22.6
1568319532.71829,-53.6,-47.7,19.3
1568341141.6851,-53.4,-47.6,22.6
1568362747.70086,-53.4,-47.6,22.1
1568384352.14685,-55,-49.2,20.7
1568405954.86993,-52.9,-47.2,23.6
1568427555.47715,-53,-47.2,21.2
1568449160.22372,-53,-47.2,22.2
1568470766.08829,-53,-47.2,23.4
1568492369.15128,-53,-47.2,23.4
1568513976.75682,-54.9,-45.4,22
1568535580.65651,-53,-47.2,22.4
1568557183.81613,-53,-47.2,22.4
1568578792.50102,-53,-43.6,26.8
1568600395.13892,-53.3,-47.6,23
1568622000.00791,-53.6,-47.8,20.6
1568643601.63684,-52.8,-47,22
1568665206.36445,-52.4,-46.7,23
1568686809.2877,-52.2,-46.5,22
1568708410.22925,-53,-47.1,19.2
1568730012.60443,-52.7,-46.9,21.4
1568751620.57441,-52.9,-47.2,22.9
1568773223.7936,-52.1,-46.3,21.6
1568794829.42393,-52.5,-46.7,21.7
1568816434.90386,-53.2,-47.2,17.7
1568838043.08155,-53.3,-47.3,17.4
1568859649.70827,-52.8,-47,22
1568881257.948,-52.6,-46.8,22.4
1568902859.31132,-53.1,-47.3,22.2
1568924466.16624,-53.8,-48,21.2
1568946071.09987,-53.4,-47.7,21.9
1568967674.06018,-52.7,-46.9,22.9
1568989280.89353,-52.7,-46.9,21.2
1569010886.69305,-52.9,-47.1,20.7
1569032491.22807,-53.4,-47.6,20.1
1569054097.08682,-53.5,-47.7,21.3
1569075705.12841,-53.5,-47.7,21.3
1569097310.44623,-53.5,-47.7,21.7
1569118912.57068,-53.5,-45.8,24.2
1569140517.60957,-53.2,-47.4,21.4
1569162121.01397,-53.4,-47.6,20.7
1569183721.64737,-53.2,-47.5,22
1569205321.7666,-53.2,-47.5,22
1569226924.13215,-53.4,-47.5,19.9
1569248527.43868,-54.1,-48.4,20.9
1569270129.5368,-54.1,-48.3,22.6
1569291738.38508,-53.9,-48.1,22.1
1569313342.4488,-53.8,-48.1,20.6
1569334950.97526,-53.5,-47.7,22.9
1569356551.01088,-53.4,-47.6,20.5
1569378155.65305,-53.3,-44.3,23.9
1569399759.03424,-53.1,-47.3,22.2
1569421359.86337,-53.2,-47.4,21.4
1569442968.61804,-53.3,-45.5,23.4
1569464575.46232,-53.3,-47.6,21.7
1569486176.4246,-53.2,-47.5,22.8
1569507783.53923,-53.1,-47.3,22.7
1569529387.67349,-53.2,-47.4,22.1
1569550996.17431,-53.4,-47.6,22.6
1569572596.47726,-53.2,-47.5,22.4
1569594199.96735,-53.3,-47.5,20.8
1569615801.89108,-53.4,-47.6,22
1569637405.93287,-53.5,-47.7,23.1
1569659006.2728,-53.4,-47.6,19.6
1569680611.95002,-53.2,-47.5,23.2
1569702214.06858,-53.1,-47.3,21.6
1569723816.7303,-53.4,-47.6,21.3
1569745418.44682,-53.6,-47.8,21.1
1569767023.79273,-53.2,-47.4,21.6
1569788624.35923,-53.3,-47.5,21.7
1569810227.05453,-53.5,-47.7,21.8
1569831834.93293,-53.5,-47.7,22.4
1569853439.90229,-53.5,-47.6,19.8
1569875040.29447,-53.2,-47.5,21.6
1569896649.08122,-53.3,-47.5,22
1569918253.20219,-53.5,-47.8,22.5
1569939862.00472,-53.5,-42.9,20.3
1569961466.57333,-53.4,-47.6,19
1569983068.75678,-53.2,-47.5,22.6
1570004672.11402,-53.5,-47.8,22.5
1570026275.84064,-53.6,-47.8,20.4
1570047879.57627,-53.4,-47.6,20.2
1570069485.04202,-53.4,-47.6,20.2
1570091085.59577,-53.3,-47.5,21.9
1570112693.35856,-53.3,-47.6,21.4
1570134300.09601,-53.4,-47.6,21.8
1570155905.49182,-53.3,-47.4,17.9
1570177508.42932,-52.6,-46.8,20.6
1570199114.07162,-52.4,-46.6,20.9
1570220715.5371,-52.4,-46.6,20.9
1570242322.61615,-52.9,-47.1,21.6
1570263931.61229,-53.3,-47.4,19.8
1570285539.58549,-53.5,-47.7,19.6
1570307143.98902,-53.2,-47.4,21.9
1570328745.95884,-53.5,-47.7,23
1570350352.42086,-53.7,-47.9,21.7
1570371958.05132,-53.5,-47.8,21.3
1570393560.19346,-53.2,-47.4,22
1570415167.13816,-53.3,-47.5,20.7
1570436771.94213,-53.3,-47.5,20.5
1570458375.75135,-53.2,-47.4,21.3
1570479978.43204,-52.9,-47.1,23.5
1570501584.76093,-53,-44.8,20.6
1570523186.37914,-53,-47.2,21.5
1570544786.81734,-53.6,-47.8,21.8
1570566394.3678,-53.1,-47.3,20.1
1570587997.7937,-53.1,-47.3,20.1
1570609606.73475,-52.8,-47,22.2
1570631210.59835,-52.8,-47,22.2
1570652811.78295,-53.1,-47.3,22
1570674416.44419,-53.1,-47.3,22
1570696022.22655,-53.5,-47.7,21.4
1570717626.14073,-53.4,-47.6,21.2
1570739232.03688,-53.2,-47.5,22.7
1570760832.78567,-53.1,-47.3,22.1
